filename,label
Images/train/0.png,4
Images/train/1.png,9
Images/train/2.png,1
Images/train/3.png,7
Images/train/4.png,3
Images/train/5.png,9
Images/train/6.png,4
Images/train/7.png,9
Images/train/8.png,3
Images/train/9.png,4
Images/train/10.png,2
Images/train/11.png,3
Images/train/12.png,6
Images/train/13.png,6
Images/train/14.png,0
Images/train/15.png,4
Images/train/16.png,8
Images/train/17.png,7
Images/train/18.png,9
Images/train/19.png,5
Images/train/20.png,3
Images/train/21.png,9
Images/train/22.png,1
Images/train/23.png,9
Images/train/24.png,6
Images/train/25.png,8
Images/train/26.png,9
Images/train/27.png,5
Images/train/28.png,7
Images/train/29.png,3
Images/train/30.png,2
Images/train/31.png,0
Images/train/32.png,5
Images/train/33.png,2
Images/train/34.png,8
Images/train/35.png,8
Images/train/36.png,4
Images/train/37.png,1
Images/train/38.png,2
Images/train/39.png,2
Images/train/40.png,8
Images/train/41.png,1
Images/train/42.png,5
Images/train/43.png,4
Images/train/44.png,1
Images/train/45.png,8
Images/train/46.png,8
Images/train/47.png,8
Images/train/48.png,6
Images/train/49.png,0
Images/train/50.png,7
Images/train/51.png,9
Images/train/52.png,6
Images/train/53.png,4
Images/train/54.png,6
Images/train/55.png,7
Images/train/56.png,9
Images/train/57.png,0
Images/train/58.png,5
Images/train/59.png,2
Images/train/60.png,3
Images/train/61.png,6
Images/train/62.png,1
Images/train/63.png,3
Images/train/64.png,2
Images/train/65.png,2
Images/train/66.png,8
Images/train/67.png,4
Images/train/68.png,0
Images/train/69.png,1
Images/train/70.png,5
Images/train/71.png,7
Images/train/72.png,2
Images/train/73.png,3
Images/train/74.png,0
Images/train/75.png,4
Images/train/76.png,6
Images/train/77.png,3
Images/train/78.png,7
Images/train/79.png,5
Images/train/80.png,9
Images/train/81.png,3
Images/train/82.png,4
Images/train/83.png,9
Images/train/84.png,6
Images/train/85.png,1
Images/train/86.png,9
Images/train/87.png,6
Images/train/88.png,4
Images/train/89.png,1
Images/train/90.png,4
Images/train/91.png,1
Images/train/92.png,7
Images/train/93.png,4
Images/train/94.png,4
Images/train/95.png,2
Images/train/96.png,2
Images/train/97.png,0
Images/train/98.png,0
Images/train/99.png,6
Images/train/100.png,7
Images/train/101.png,7
Images/train/102.png,2
Images/train/103.png,6
Images/train/104.png,1
Images/train/105.png,1
Images/train/106.png,0
Images/train/107.png,6
Images/train/108.png,5
Images/train/109.png,4
Images/train/110.png,8
Images/train/111.png,8
Images/train/112.png,6
Images/train/113.png,4
Images/train/114.png,9
Images/train/115.png,3
Images/train/116.png,3
Images/train/117.png,7
Images/train/118.png,8
Images/train/119.png,8
Images/train/120.png,8
Images/train/121.png,9
Images/train/122.png,1
Images/train/123.png,3
Images/train/124.png,7
Images/train/125.png,9
Images/train/126.png,7
Images/train/127.png,7
Images/train/128.png,1
Images/train/129.png,1
Images/train/130.png,6
Images/train/131.png,5
Images/train/132.png,5
Images/train/133.png,5
Images/train/134.png,6
Images/train/135.png,2
Images/train/136.png,3
Images/train/137.png,0
Images/train/138.png,5
Images/train/139.png,4
Images/train/140.png,6
Images/train/141.png,9
Images/train/142.png,4
Images/train/143.png,9
Images/train/144.png,3
Images/train/145.png,7
Images/train/146.png,4
Images/train/147.png,2
Images/train/148.png,3
Images/train/149.png,0
Images/train/150.png,0
Images/train/151.png,0
Images/train/152.png,2
Images/train/153.png,7
Images/train/154.png,1
Images/train/155.png,4
Images/train/156.png,8
Images/train/157.png,4
Images/train/158.png,9
Images/train/159.png,8
Images/train/160.png,3
Images/train/161.png,4
Images/train/162.png,3
Images/train/163.png,6
Images/train/164.png,4
Images/train/165.png,9
Images/train/166.png,8
Images/train/167.png,0
Images/train/168.png,4
Images/train/169.png,4
Images/train/170.png,5
Images/train/171.png,6
Images/train/172.png,6
Images/train/173.png,6
Images/train/174.png,7
Images/train/175.png,5
Images/train/176.png,9
